,Beads/beads | Count,Lymphocytes/Single Cells/Live CD45+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+/Monos | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64-Ly6C- | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CX3CR1+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/DN | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+CX3CR1- | Count,
Specimen_001_4s.fcs,222,772,55.0,4.00,14.0,505,172,69.0,221,38.0,
Specimen_001_5s.fcs,262,3028,361,36.0,33.0,1881,353,220,1117,194,
Specimen_001_6s.fcs,165,4931,658,67.0,39.0,2543,516,270,1576,172,
Specimen_001_11s.fcs,337,12991,818,0,43.0,8113,1845,0,6231,0,
Specimen_001_12s.fcs,532,6065,788,73.0,52.0,3780,789,445,2175,369,
Specimen_001_13s.fcs,223,3652,318,38.0,50.0,2399,342,463,1067,516,
Specimen_001_19s.fcs,562,2589,188,22.0,31.0,1676,447,299,780,147,
Specimen_001_20s.fcs,506,1736,172,30.0,22.0,1069,172,259,472,168,
Specimen_001_21s.fcs,345,4678,484,32.0,35.0,3303,558,327,2127,289,
Specimen_001_22s.fcs,252,1912,272,33.0,12.0,1081,266,135,604,76.0,
Specimen_001_23s.fcs,233,8199,718,90.0,49.0,5352,884,662,3085,656,
Specimen_001_31s.fcs,313,1781,272,42.0,11.0,1056,200,164,540,149,
Specimen_001_32s.fcs,287,993,103,2.00,19.0,471,95.0,151,207,22.0,
Specimen_001_33s.fcs,263,6007,538,83.0,27.0,4041,678,294,2506,529,
Specimen_001_34s.fcs,281,455,47.0,11.0,2.00,308,93.0,41.0,128,34.0,
Specimen_001_35s.fcs,372,1983,242,29.0,24.0,1068,214,215,529,113,
Specimen_001_36s.fcs,437,1513,172,11.0,34.0,829,192,178,393,61.0,
Mean,329,3723,365,35.5,29.2,2322,460,247,1398,208,
SD,117,3226,256,28.0,14.8,2073,430,166,1532,198,
