,Beads/beads | Count,Lymphocytes/Single Cells/Live CD45+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+/Monos | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64-Ly6C- | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CX3CR1+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/DN | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+CX3CR1- | Count,
Specimen_001_4t.fcs,126,7516,508,58.0,316,4925,934,663,1574,1741,
Specimen_001_5t.fcs,159,7247,901,62.0,138,4241,756,479,1726,1292,
Specimen_001_6t.fcs,125,6784,743,49.0,166,3567,1305,795,973,477,
Specimen_001_11t.fcs,213,24334,2089,153,188,16104,2303,1731,9816,2250,
Specimen_001_12t.fcs,186,19088,1332,157,457,9194,1990,2971,2583,1633,
Specimen_001_13t.fcs,242,5901,602,66.0,91.0,3285,548,670,1121,934,
Specimen_001_19t.fcs,320,6423,465,54.0,107,3974,709,601,1644,1015,
Specimen_001_20t.fcs,276,6606,263,37.0,93.0,4120,506,603,1469,1563,
Specimen_001_21t.fcs,93.0,10089,933,84.0,87.0,6893,1121,617,3165,1993,
Specimen_001_22t.fcs,136,7180,494,61.0,104,4678,722,569,1656,1720,
Specimen_001_23t.fcs,183,10193,991,88.0,83.0,6539,1142,642,2820,1838,
Specimen_001_31t.fcs,191,5653,793,71.0,69.0,2868,540,385,1289,647,
Specimen_001_32t.fcs,180,5373,641,64.0,89.0,2508,412,376,1099,629,
Specimen_001_33t.fcs,238,2670,257,18.0,43.0,1474,876,261,272,53.0,
Specimen_001_34t.fcs,125,6633,609,102,121,4180,675,544,1264,1682,
Specimen_001_35t.fcs,120,7260,916,103,104,4233,701,607,1488,1434,
Specimen_001_36t.fcs,178,8754,717,102,124,5127,937,813,1487,1850,
Mean,182,8688,780,78.2,140,5171,952,784,2085,1338,
SD,61.1,5282,433,36.9,102,3338,513,645,2111,612,
