,Beads/beads | Count,Lymphocytes/Single Cells/Live CD45+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+/Monos | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64-Ly6C- | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CX3CR1+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/DN | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+CX3CR1- | Count,
Specimen_001_21s.fcs,345,4678,484,32.0,35.0,3303,558,327,2127,289,
Specimen_001_21t.fcs,93.0,10089,933,84.0,87.0,6893,1121,617,3165,1993,
Specimen_001_22s.fcs,252,1912,272,33.0,12.0,1081,266,135,604,76.0,
Specimen_001_22t.fcs,136,7180,494,61.0,104,4678,722,569,1656,1720,
Specimen_001_23s.fcs,233,8199,718,90.0,49.0,5352,884,662,3085,656,
Specimen_001_23t.fcs,183,10193,991,88.0,83.0,6539,1142,642,2820,1838,
Specimen_001_31s.fcs,313,1781,272,42.0,11.0,1056,200,164,540,149,
Specimen_001_31t.fcs,191,5653,793,71.0,69.0,2868,540,385,1289,647,
Specimen_001_32s.fcs,287,993,103,2.00,19.0,471,95.0,151,207,22.0,
Specimen_001_32t.fcs,180,5373,641,64.0,89.0,2508,412,376,1099,629,
Mean,221,5605,570,56.7,55.8,3475,594,403,1659,802,
SD,79.5,3347,297,28.8,35.1,2309,369,210,1095,763,
