,Beads/beads | Count,Lymphocytes/Single Cells/Live CD45+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+/Monos | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64-Ly6C- | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CX3CR1+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/DN | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+CX3CR1- | Count,
Specimen_001_35s.fcs,372,1983,242,29.0,24.0,1068,214,215,529,113,
Specimen_001_35t.fcs,120,7260,916,103,104,4233,701,607,1488,1434,
Specimen_001_36s.fcs,437,1513,172,11.0,34.0,829,192,178,393,61.0,
Specimen_001_36t.fcs,178,8754,717,102,124,5127,937,813,1487,1850,
Specimen_001_33s.fcs,263,6007,538,83.0,27.0,4041,678,294,2506,529,
Specimen_001_33t.fcs,238,2670,257,18.0,43.0,1474,876,261,272,53.0,
Specimen_001_34s.fcs,281,455,47.0,11.0,2.00,308,93.0,41.0,128,34.0,
Specimen_001_34t.fcs,125,6633,609,102,121,4180,675,544,1264,1682,
Mean,252,4409,437,57.4,59.9,2658,546,369,1008,720,
SD,113,3104,302,43.7,48.5,1912,330,259,819,799,
