,Beads/beads | Count,Lymphocytes/Single Cells/Live CD45+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/Ly6C+/Monos | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64-Ly6C- | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CX3CR1+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/DN | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+ | Count,Lymphocytes/Single Cells/Live CD45+/CD11b+ CD19-/Ly6G-/CD64+/CD206+CX3CR1- | Count,
Specimen_001_11s.fcs,337,12991,818,0,43.0,8113,1845,0,6231,0,
Specimen_001_11t.fcs,213,24334,2089,153,188,16104,2303,1731,9816,2250,
Specimen_001_12s.fcs,532,6065,788,73.0,52.0,3780,789,445,2175,369,
Specimen_001_12t.fcs,186,19088,1332,157,457,9194,1990,2971,2583,1633,
Specimen_001_13s.fcs,223,3652,318,38.0,50.0,2399,342,463,1067,516,
Specimen_001_13t.fcs,242,5901,602,66.0,91.0,3285,548,670,1121,934,
Specimen_001_19s.fcs,562,2589,188,22.0,31.0,1676,447,299,780,147,
Specimen_001_19t.fcs,320,6423,465,54.0,107,3974,709,601,1644,1015,
Specimen_001_20s.fcs,506,1736,172,30.0,22.0,1069,172,259,472,168,
Specimen_001_20t.fcs,276,6606,263,37.0,93.0,4120,506,603,1469,1563,
Mean,340,8938,704,63.0,113,5371,965,804,2736,860,
SD,142,7497,605,52.9,130,4579,773,888,2978,756,
